"order","family","sci_name","common_name","iucn_2024","status","mass_g","habitat","habitat_density","migration","trophic_level","trophic_niche","primary_lifestyle","range_size","lifespan","repro_age","clutches_per_year","kipps_distance","hand_wing_index","nest_type","majority_nesting_location","most_common_nesting_location","second_nesting_location","nest_category","any_tree_nest","ground_nest","shrub_nest","snag_nest","live_tree_nest","conifer_nest","deciduous_nest","majority_foraging_location","most_common_foraging_location","second_foraging_location","av_id","elton_id","d_id","elton_common_name","elton_sci_name","elton_syn","d_sci_name","for_hawking","for_foliage_gleaning","for_bark_gleaning","fstimb","diet_inv","diet_nect","diet_seed","for_strat_ground","for_strat_understory","for_strat_canopy","elevational_range","forest_use","primary_habitat","habitat_breadth","primary_diet","diet_breadth","eco_spec_index","old_growth"
"ANSERIFORMES"," Anatidae","Branta canadensis","Canada Goose","LC","",2811.7,"Grassland","open",3,"Herbivore","Herbivore terrestrial","Terrestrial",12236810.45,28,3,1,206.5,49.4,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"ground","ground","water",408,613,80,"Canada Goose","Branta canadensis",NA,NA,0,0,0,0,0,0,0,60,0,0,2000,0,"Wetland",8,"Plant",2,0.796,0
"ANSERIFORMES"," Anatidae","Cygnus olor","Mute Swan","LC","Introduced species",10682,"Wetland","open",3,"Herbivore","Herbivore aquatic","Aquatic",4915289.2,16,3,1.1,244.9,42.1,"platform","ground","ground_nest",NA,"platform",0,100,0,0,0,0,0,"water","water",NA,400,586,90,"Mute Swan","Cygnus olor",NA,NA,0,0,0,0,10,0,0,0,0,0,NA,0,"Wetland",4,"Plant",1,1.398,0
"ANSERIFORMES"," Anatidae","Cygnus buccinator","Trumpeter Swan","LC","",11071.1,"Wetland","open",3,"Herbivore","Herbivore aquatic","Aquatic",1375549.41,25,5.5,0.8,267,42.7,"platform","ground","ground_nest",NA,"platform",0,100,0,0,0,0,0,"water","water",NA,401,590,100,"Trumpeter Swan","Cygnus buccinator",NA,NA,0,0,0,0,10,0,20,0,0,0,NA,0,"Wetland",3,"Plant",3,1.046,0
"ANSERIFORMES"," Anatidae","Cygnus columbianus","Tundra Swan","LC","",6378,"Wetland","open",3,"Herbivore","Herbivore aquatic","Aquatic",5272186.12,21,6,1,243.8,45.3,"platform","ground","ground_nest",NA,"platform",0,100,0,0,0,0,0,NA,"ground","water",403,591,110,"Tundra Swan","Cygnus columbianus",NA,NA,0,0,0,0,0,0,0,50,0,0,2100,0,"Wetland",5,"Plant",3,0.824,0
"ANSERIFORMES"," Anatidae","Cygnus cygnus","Whooper Swan","LC","Rare/Accidental",9350,"Wetland","open",3,"Herbivore","Herbivore aquatic","Aquatic",17099815.6,NA,NA,NA,260.5,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"water","water","ground",402,589,NA,"Whooper Swan",NA,NA,NA,NA,NA,NA,NA,0,0,0,20,0,0,700,2,"Wetland",6,"Plant",3,0.745,0
"ANSERIFORMES"," Anatidae","Aix sponsa","Wood Duck","LC","",657.6,"Wetland","open",1,"Herbivore","Omnivore","Generalist",6191757.66,15,1,2,108.5,49.4,"cavity","tree","any_tree_nest","live_tree_nest","cavity",95,5,0,45,50,0,50,"water","water","ground",467,659,120,"Wood Duck","Aix sponsa",NA,NA,0,0,0,0,0,0,50,20,0,0,900,3,"Wetland",4,"Omnivore",4,0.796,0
"ANSERIFORMES"," Anatidae","Sibirionetta formosa","Baikal Teal","LC","Rare/Accidental",434,"Wetland","open",3,"Herbivore","Herbivore aquatic","Aquatic",3744079.85,NA,NA,NA,116.3,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"water","water","ground",511,713,NA,NA,NA,NA,"Anas formosa",NA,NA,NA,NA,10,0,20,30,0,0,2650,0,"Wetland",5,"Herbivore",3,0.824,0
"ANSERIFORMES"," Anatidae","Spatula querquedula","Garganey","LC","Rare/Accidental",325.6,"Wetland","open",3,"Omnivore","Herbivore aquatic","Aquatic",16861397.11,NA,NA,NA,105.6,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"water","water",NA,501,712,NA,NA,NA,NA,"Anas querquedula",NA,NA,NA,NA,40,0,10,0,0,0,1200,0,"Wetland",3,"Omnivore",5,0.824,0
"ANSERIFORMES"," Anatidae","Spatula discors","Blue-winged Teal","LC","",359.4,"Wetland","open",3,"Omnivore","Herbivore aquatic","Aquatic",8349222.13,17,1,1,98.7,53.8,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,510,690,130,NA,"Anas discors","Spatula discors","Anas discors",0,0,0,0,10,0,30,0,0,0,3600,3,"Wetland",4,"Omnivore",3,0.921,0
"ANSERIFORMES"," Anatidae","Spatula cyanoptera","Cinnamon Teal","LC","",377.5,"Wetland","open",2,"Herbivore","Herbivore aquatic","Aquatic",6567683.13,17.4,1,1,94.8,51,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,509,691,140,NA,"Anas cyanoptera","Spatula cyanoptera","Anas cyanoptera",0,0,0,0,20,0,30,0,0,0,3800,0,"Wetland",1,"Omnivore",3,1.523,0
