trait,description,values,trait source,predicted fire impacts,source for fire impacts
for_strat_canopy,Prevalence of: Foraging in or just above (from) tree canopy,%,EltonTraits,Fire will negatiovely impact canopy species,Latif et al. 2021; Azeria et al. 2011; Rainsford et al. 2011; Edenius et al. 2011; Hannon et al. 2005
Diet.Seed,"	
Percent use of: Seed, maize, nuts, spores, wheat, grains",0 or 1,EltonTraits,Seed availibility increased after fire,Smucker et al. 2005; Kotliar et al. 2002
Diet.Nect,"Percent use of: Nectar, pollen, plant exudates, gums
",0 or 1,EltonTraits,"Increased flowers (from early succesion plants, ie fireweed) after fire will benefit nectivores",Kotliar et al. 2002
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,large home range:,Kotliar et al. 2002; Puig-Gironès et al. 2023; Batista et al. 2023: large home range,,,
