assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
255829868,22693154,Limosa haemastica,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Limosa,haemastica,,,,"(Linnaeus, 1758)",Vulnerable,A2b+4b,3.1,Decreasing,Global
255846610,22693427,Calidris alpina,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,alpina,,,,"(Linnaeus, 1758)",Near Threatened,A2bcd+4bcd,3.1,Decreasing,Global
256247816,22693777,Charadrius vociferus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,CHARADRIIDAE,Charadrius,vociferus,,,,"Linnaeus, 1758",Near Threatened,A2bc+4bc,3.1,Decreasing,Global
256354281,22693447,Calidris subruficollis,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,subruficollis,,,,"(Vieillot, 1819)",Vulnerable,A2bc+4bc,3.1,Decreasing,Global
256610578,22693348,Limnodromus scolopaceus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Limnodromus,scolopaceus,,,,"(Say, 1823)",Near Threatened,A2b+4b,3.1,Decreasing,Global
257323525,22693464,Calidris falcinellus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,falcinellus,,,,"(Pontoppidan, 1763)",Vulnerable,A2bc+4bc,3.1,Decreasing,Global
259771021,22693162,Limosa fedoa,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Limosa,fedoa,,,,"(Linnaeus, 1758)",Vulnerable,A2bc+4bc,3.1,Decreasing,Global
260758243,22693344,Limnodromus griseus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Limnodromus,griseus,,,,"(Gmelin, 1789)",Vulnerable,A2bd+3bd+4bd,3.1,Decreasing,Global
260808693,22693239,Tringa solitaria,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,solitaria,,,,"Wilson, 1813",Least Concern,,3.1,Unknown,Global
261626967,22693231,Tringa melanoleuca,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,melanoleuca,,,,"(Gmelin, 1789)",Near Threatened,A2bd,3.1,Decreasing,Global
261733225,22693376,Calidris mauri,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,mauri,,,,"(Cabanis, 1857)",Least Concern,,3.1,Decreasing,Global
261755965,22693404,Calidris bairdii,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,bairdii,,,,"(Coues, 1861)",Least Concern,,3.1,Stable,Global
262144636,22693717,Recurvirostra americana,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,RECURVIROSTRIDAE,Recurvirostra,americana,,,,"Gmelin, 1789",Least Concern,,3.1,Unknown,Global
262195475,22693764,Charadrius semipalmatus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,CHARADRIIDAE,Charadrius,semipalmatus,,,,"Bonaparte, 1825",Least Concern,,3.1,Decreasing,Global
262324770,22693341,Arenaria melanocephala,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Arenaria,melanocephala,,,,"(Vigors, 1829)",Least Concern,,3.1,Stable,Global
262351933,22693424,Calidris ptilocnemis,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,ptilocnemis,,,,"(Coues, 1873)",Least Concern,,3.1,Decreasing,Global
262353424,22693420,Calidris maritima,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,maritima,,,,"(Brünnich, 1764)",Least Concern,,3.1,Decreasing,Global
262488394,22693472,Steganopus tricolor,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Steganopus,tricolor,,,,"(Vieillot, 1819)",Least Concern,,3.1,Stable,Global
262609165,22693494,Phalaropus fulicarius,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Phalaropus,fulicarius,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
262691229,22693277,Actitis macularius,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Actitis,macularius,,,,"Linnaeus, 1766",Least Concern,,3.1,Stable,Global
262948509,22693305,Tringa incana,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,incana,,,,"(Gmelin, 1789)",Least Concern,,3.1,Unknown,Global
263047127,22693319,Tringa semipalmata,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Tringa,semipalmata,,,,"(Gmelin, 1789)",Least Concern,,3.1,Decreasing,Global
263308216,22720117,Crithagra leucopygia,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Crithagra,leucopygia,,,,"Sundevall, 1850",Least Concern,,3.1,Stable,Global
263615910,22687164,Orthorhyncus cristatus,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Orthorhyncus,cristatus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
263647072,22686742,Tachornis phoenicobia,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,APODIDAE,Tachornis,phoenicobia,,,,"Gosse, 1847",Least Concern,,3.1,Stable,Global
263660872,22686845,Apus pacificus,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,APODIDAE,Apus,pacificus,,,,"(Latham, 1802)",Least Concern,,3.1,Stable,Global
263688709,22686677,Hirundapus caudacutus,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,APODIDAE,Hirundapus,caudacutus,,,,"(Latham, 1802)",Least Concern,,3.1,Stable,Global
263704993,22725191,Bambusicola thoracicus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Bambusicola,thoracicus,,,,"(Temminck, 1815)",Least Concern,,3.1,Decreasing,Global
263732457,22679199,Gallus gallus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Gallus,gallus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
263762446,22712634,Pycnonotus jocosus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PYCNONOTIDAE,Pycnonotus,jocosus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
263781962,22736111,Turdus eunomus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TURDIDAE,Turdus,eunomus,,,,"Temminck, 1831",Least Concern,,3.1,Unknown,Global
263842871,22714380,Horornis diphone,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,SCOTOCERCIDAE,Horornis,diphone,,,,"(Kittlitz, 1830)",Least Concern,,3.1,Stable,Global
263861023,22719614,Amandava amandava,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,ESTRILDIDAE,Amandava,amandava,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
263876870,22712101,Progne cryptoleuca,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,HIRUNDINIDAE,Progne,cryptoleuca,,,,"Baird, 1865",Least Concern,,3.1,Stable,Global
263883958,103845868,Phylloscopus examinandus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PHYLLOSCOPIDAE,Phylloscopus,examinandus,,,,"Stresemann, 1913",Least Concern,,3.1,Stable,Global
263886976,22711032,Mimus gundlachii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MIMIDAE,Mimus,gundlachii,,,,"Cabanis, 1855",Least Concern,,3.1,Decreasing,Global
263988896,22690241,Patagioenas squamosa,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Patagioenas,squamosa,,,,"Bonnaterre, 1792",Least Concern,,3.1,Decreasing,Global
264021388,22725702,Caprimulgus jotaka,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,CAPRIMULGIDAE,Caprimulgus,jotaka,,,,"Temminck &amp; Schlegel, 1847",Least Concern,,3.1,Decreasing,Global
264061756,22690954,Geotrygon chrysia,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Geotrygon,chrysia,,,,"Bonaparte, 1855",Least Concern,,3.1,Decreasing,Global
264075173,22685441,Alexandrinus krameri,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Alexandrinus,krameri,,,,"(Scopoli, 1769)",Least Concern,,3.1,Increasing,Global
264111548,60482887,Spilopelia chinensis,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Spilopelia,chinensis,,,,"(Scopoli, 1786)",Least Concern,,3.1,Increasing,Global
264141273,22679217,Lophura leucomelanos,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Lophura,leucomelanos,,,,"(Latham, 1790)",Least Concern,,3.1,Decreasing,Global
264159165,22687330,Riccordia ricordii,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Riccordia,ricordii,,,,"(Gervais, 1835)",Least Concern,,3.1,Decreasing,Global
264165100,22690439,Streptopelia orientalis,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Streptopelia,orientalis,,,,"(Latham, 1790)",Least Concern,,3.1,Decreasing,Global
264198331,22715611,Pterorhinus pectoralis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LEIOTRICHIDAE,Pterorhinus,pectoralis,,,,"(Gould, 1836)",Least Concern,,3.1,Decreasing,Global
264201155,22716522,Leiothrix lutea,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LEIOTRICHIDAE,Leiothrix,lutea,,,,"(Scopoli, 1786)",Least Concern,,3.1,Decreasing,Global
264255613,103769227,Ficedula narcissina,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Ficedula,narcissina,,,,"(Temminck, 1836)",Least Concern,,3.1,Decreasing,Global
264258972,22709207,Muscicapa dauurica,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Muscicapa,dauurica,,,,"Pallas, 1811",Least Concern,,3.1,Decreasing,Global
264259841,22709204,Muscicapa sibirica,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Muscicapa,sibirica,,,,"Gmelin, 1789",Least Concern,,3.1,Decreasing,Global
264301931,22700449,Myiarchus sagrae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TYRANNIDAE,Myiarchus,sagrae,,,,"(Gundlach, 1852)",Least Concern,,3.1,Decreasing,Global
264401645,22700513,Tyrannus caudifasciatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TYRANNIDAE,Tyrannus,caudifasciatus,,,,"d'Orbigny, 1839",Least Concern,,3.1,Decreasing,Global
264530308,22708286,Monticola solitarius,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Monticola,solitarius,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
264533788,22720556,Carpodacus erythrinus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Carpodacus,erythrinus,,,,"(Pallas, 1770)",Least Concern,,3.1,Decreasing,Global
264534717,22720041,Fringilla montifringilla,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Fringilla,montifringilla,,,,"Linnaeus, 1758",Least Concern,,3.1,Decreasing,Global
264547173,22708816,Turdus pilaris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TURDIDAE,Turdus,pilaris,,,,"Linnaeus, 1758",Least Concern,,3.1,Stable,Global
264548442,103888106,Turdus merula,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TURDIDAE,Turdus,merula,,,,"Linnaeus, 1758",Least Concern,,3.1,Increasing,Global
264553575,22683873,Cuculus canorus,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Cuculus,canorus,,,,"Linnaeus, 1758",Least Concern,,3.1,Stable,Global
264561964,103811886,Delichon urbicum,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,HIRUNDINIDAE,Delichon,urbicum,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
