internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22712427,Petrochelidon pyrrhonota,Hirundo pyrrhonota,Hirundo pyrrhonota,,AERC TAC (2003),,
22712427,Petrochelidon pyrrhonota,"Hirundo pyrrhonota pyrrhonota Sibley and Monroe (1990, 1993)",Hirundo pyrrhonota,pyrrhonota,"Sibley and Monroe (1990, 1993)",,
22714669,Helopsaltes ochotensis,"Locustella ochotensis (Middendorff, 1853)",Locustella,ochotensis,"(Middendorff, 1853)",,
22720359,Spinus pinus,"Carduelis pinus (Wilson, 1810)",Carduelis,pinus,"(Wilson, 1810)",,
22720407,Spinus tristis,"Carduelis tristis (Linnaeus, 1758)",Carduelis,tristis,"(Linnaeus, 1758)",,
22720413,Spinus lawrencei,"Carduelis lawrencei Cassin, 1852",Carduelis,lawrencei,"Cassin, 1852",,
22720553,Haemorhous purpureus,"Carpodacus purpureus (Gmelin, 1789)",Carpodacus,purpureus,"(Gmelin, 1789)",,
22729123,Icterus bullockiorum,"Icterus bullockii (Swainson, 1827)",Icterus,bullockii,"(Swainson, 1827)",,
61204079,Canachites canadensis,"Falcipennis canadensis (Linnaeus, 1758)",Falcipennis,canadensis,"(Linnaeus, 1758)",,
61204155,Canachites franklinii,"Falcipennis franklinii (Douglas, 1829)",Falcipennis,franklinii,"(Douglas, 1829)",,
62169677,Fulica americana,"Fulica caribaea Ridgway, 1884",Fulica,caribaea,"Ridgway, 1884",,
22721115,Passerculus rostratus,"Ammodramus rostratus ssp. rostratus (Cassin, 1852) — Stotz <i>et al</i>. (1996)",Ammodramus,rostratus,,subspecies,"(Cassin, 1852) — Stotz <i>et al</i>. (1996)"
22699787,Contopus cooperi,Contopus borealis ssp. borealis — Stotz <i>et al</i>. (1996),Contopus,borealis,,subspecies,— Stotz <i>et al</i>. (1996)
22699787,Contopus cooperi,"Contopus borealis ssp. borealis — Sibley and Monroe (1990, 1993)",Contopus,borealis,,subspecies,"— Sibley and Monroe (1990, 1993)"
22710921,Acridotheres tristis,Sturnus tristis ssp. tristis — Christidis and Boles (2008),Sturnus,tristis,,subspecies,— Christidis and Boles (2008)
22694764,Chlidonias hybrida,Chlidonias hybridus ssp. hybridus — Dowsett and Forbes-Watson (1993),Chlidonias,hybridus,,subspecies,— Dowsett and Forbes-Watson (1993)
