SortID,Order,Family,Species common name,Species scientific name,PhyloName,phylo-duplicate-flag,phylo-fidelity,Str-None,Str-Scrape,Str-Clearing,Str-Ring,Str-Excavation,Str-CavityMod,Str-ExWNest,Str-Mound,Str-Platform,Str-Cup,Str-Dome,Str-DomeAndTube,Loc-Artificial,Loc-EarthHole,Loc-Ground,Loc-Rocks,Loc-TreeHole,Loc-Veg,Loc-Water,Body mass (log),HWI,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange
1284,CAPRIMULGIFORMES,Trochilidae,Wire-crested Thorntail,Discosura popelairii,Discosura popelairii,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0.397940009,64.75054466,-3.89,20.36800435,13.08097174,2057.237283,149.2110239
1285,CAPRIMULGIFORMES,Trochilidae,Black-bellied Thorntail,Discosura langsdorffi,Discosura langsdorffi,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.447158031,64.05765009,-6.72,25.24759118,12.85388787,2379.695963,202.3707814
1286,CAPRIMULGIFORMES,Trochilidae,Coppery Thorntail,Discosura letitiae,Discosura letitiae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451786436,65.15957447,-16.48,25.0583,17.9875,3410.46,434.833
1287,CAPRIMULGIFORMES,Trochilidae,Racket-tailed Coquette,Discosura longicaudus,Discosura longicaudus,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.531478917,71.14070774,0.92,25.97005763,11.39025095,2329.111332,281.5005037
1288,CAPRIMULGIFORMES,Trochilidae,Tufted Coquette,Lophornis ornatus,Lophornis ornatus,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.361727836,68.71943372,4.8,25.82315385,11.61759062,2242.784323,311.8871334
1289,CAPRIMULGIFORMES,Trochilidae,Dot-eared Coquette,Lophornis gouldii,Lophornis gouldii,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.380211242,66.96702161,-8.25,25.63109401,15.96132569,1956.81982,320.2596647
1290,CAPRIMULGIFORMES,Trochilidae,Frilled Coquette,Lophornis magnificus,Lophornis magnificus,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.431363764,66.03205128,-18.97,22.52148898,17.43806907,1438.295602,212.2234925
1291,CAPRIMULGIFORMES,Trochilidae,Short-crested Coquette,Lophornis brachylophus,Lophornis brachylophus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428134794,64.04208195,17.67,24.83306667,18.2986,1174.833333,281.1096167
1292,CAPRIMULGIFORMES,Trochilidae,Rufous-crested Coquette,Lophornis delattrei,Lophornis delattrei,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447158031,66.63174422,-4.07,22.26096923,13.96605262,2112.652554,245.1006845
1293,CAPRIMULGIFORMES,Trochilidae,Spangled Coquette,Lophornis stictolophus,Lophornis stictolophus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428134794,64.9122807,1.3,21.334124,12.405908,1948.64188,164.6508548
1294,CAPRIMULGIFORMES,Trochilidae,Festive Coquette,Lophornis chalybeus,Lophornis chalybeus,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.477121255,63.41199544,-6.6,24.87361012,13.56662447,2279.473758,231.1609391
1295,CAPRIMULGIFORMES,Trochilidae,Butterfly Coquette,Lophornis verreauxii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1296,CAPRIMULGIFORMES,Trochilidae,Peacock Coquette,Lophornis pavoninus,Lophornis pavoninus,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.477121255,63.87310606,5.2,24.56316286,12.50511429,2541.049429,334.7381257
1297,CAPRIMULGIFORMES,Trochilidae,Black-crested Coquette,Lophornis helenae,Lophornis helenae,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.414973348,68.54242783,15.21,24.20166,14.689067,2242.978667,326.5824128
1298,CAPRIMULGIFORMES,Trochilidae,White-crested Coquette,Lophornis adorabilis,Lophornis adorabilis,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.431363764,67.52699055,9.11,23.7516125,12.8181625,3163.965,453.8037375
1299,CAPRIMULGIFORMES,Trochilidae,Ecuadorian Piedtail,Phlogophilus hemileucurus,Phlogophilus hemileucurus,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.447158031,63.62845369,-1.36,19.04063529,11.76763529,2243.687059,134.9739
1300,CAPRIMULGIFORMES,Trochilidae,Peruvian Piedtail,Phlogophilus harterti,Phlogophilus harterti,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431363764,64.09223849,-12.31,18.13465882,17.45107647,1876.222941,218.9313294
1301,CAPRIMULGIFORMES,Trochilidae,Speckled Hummingbird,Adelomyia melanogenys,Adelomyia melanogenys,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.692846919,58.53818205,-4.04,20.21796245,14.78636151,1732.469835,194.1816816
1302,CAPRIMULGIFORMES,Trochilidae,Long-tailed Sylph,Aglaiocercus kingii,Aglaiocercus kingi,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.684845362,61.36507041,-2.35,18.92096221,14.20136177,1814.04892,188.2921379
1303,CAPRIMULGIFORMES,Trochilidae,Violet-tailed Sylph,Aglaiocercus coelestis,Aglaiocercus coelestis,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.748962861,61.06694325,0.61,20.230895,11.344204,2591.0369,238.3701949
1304,CAPRIMULGIFORMES,Trochilidae,Venezuelan Sylph,Aglaiocercus berlepschi,Aglaiocercus berlepschi,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.696356389,65.28396495,NA,24.6636625,12.7693875,1119.855625,163.1764163
1305,CAPRIMULGIFORMES,Trochilidae,Red-tailed Comet,Sappho sparganurus,Sappho sparganura,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0.72427587,63.10673509,-25.97,15.62722257,27.07704865,532.9445135,100.9826349
1306,CAPRIMULGIFORMES,Trochilidae,Grey-bellied Comet,Taphrolesbia griseiventris,Taphrolesbia griseiventris,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0.951337519,64.73858006,-8.3,13.73713071,17.13355714,705.0547143,106.7105796
1307,CAPRIMULGIFORMES,Trochilidae,Bronze-tailed Comet,Polyonymus caroli,Polyonymus caroli,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681241237,61.19062752,-12.2,11.456055,18.70282353,573.1167035,101.5903927
1308,CAPRIMULGIFORMES,Trochilidae,Ecuadorian Hillstar,Oreotrochilus chimborazo,Oreotrochilus chimborazo,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.913813852,58.55249855,-0.91,16.03908,11.68582,1660.9963,154.567363
1309,CAPRIMULGIFORMES,Trochilidae,Andean Hillstar,Oreotrochilus estella,Oreotrochilus estella,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0.908485019,59.66329909,-16.88,10.80102609,22.33105913,530.6740923,102.7128542
