name,proj_id,et_id,hbw_id,ebd_id,ebd_sub,ebd_mix,bbs_id,aou_id,aou_mix,hwi,order,family,eng_name,synonyms,mlife,mis_mlife,adsurviv,mis_adsurviv,matage,parasi,egglow,eggupp,nsuc,hatc,fled,ypp,suces,mis_suces,attem,dev,bmass,naggr,brsys,mis_breed,bpstart,bpstop,ndepen,nest,nsbank,nsgroun,nsgrass,nsclif,nsbuild,nsshru,nsdeci,nsconi,nssnag,nscact,nstang,nsfloat,fsmud,fswatb,fswata,fstimb,fsgroun,fsunder,fsmidhigh,fscanopy,fsaerial,fsdump,fpnoct,fpdiur,klepto,fc_categ,fcinvert,fcvend,fcvect,fcfish,fcunk,fcscav,fcfruit,fcnect,fcseed,fcgree,fcleft,fmdig,fmgrgl,fmfogl,fmbagl,fmhogl,fmhopo,fmhawk,fmaero,fmapur,fmswoo,fmhipa,fmlopa,fmhidi,fmskim,fmsdiv,fmsdip,fmdabb,fmstal,fmprob,pelagic,code,ebd_id2022,ebd_id2023
Anas clypeata,150,695,575,434,NA,435;436;437;441;447,34,1420,NA,57.97,Anseriformes,Anatidae,Northern Shoveler,Spatula clypeata,13,0,0.39,0,1,0,9,12,NA,0.74,0.18,NA,0.13,0,1,pre2,612.56,1,monog,0,5-May,25-Apr,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,1,0,Invertebrate,60,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0,norsho,464,474
Anas strepera,160,671,580,438,439:440,441;444;448,35,1350,NA,54.79,Anseriformes,Anatidae,Gadwall,Mareca strepera,22,0,0.72,0,1,0,8,11,0.75,0.93,0.83,NA,0.58,0,1,pre2,915.58,2,monog,0,20-Apr,30-Aug,0,scrape,0,95,0,0,0,0,5,0,0,0,0,0,0,0,80,0,20,0,0,0,0,0,0,1,0,PlantSeed,5,0,0,0,0,0,0,0,30,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,gadwal,468,478
Anas americana,170,674,582,445,NA,446;447;448;449;450,38,1370,NA,53.71,Anseriformes,Anatidae,American Wigeon,Mareca americana,21,0,0.52,0,1.5,0,7,10,0.5,NA,NA,6.5,0.5,0,1,pre2,754.61,3,monog,0,10-May,20-Aug,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,1,0,PlantSeed,10,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,amewig,477,487
Mareca penelope,175,673,581,443,NA,444,37,1360,NA,58.541,Anseriformes,Anatidae,Eurasian Wigeon,Anas penelope,21,1,0.52,1,1.5,0,7,10,NA,NA,NA,NA,0.5,1,1,pre2,770.03,2,monog,0,5-Apr,25-Jul,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,1,0,PlantSeed,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,eurwig,475,485
Anas platyrhynchos,180,679,592,471,472:474,475;476;477;478;479;480;481;482;483;484;485;486;497;488;489;491;492;495;496;500;501;502;512;519;538;561;570;577;622,40,1320,1331;1326,50.78,Anseriformes,Anatidae,Mallard,NA,29,0,0.6,0,1,0,7,10,0.2,0.91,0.35,NA,0.1,0,1.1,pre2,843.42,2,monog,0,10-Apr,15-Sep,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,20,60,0,20,0,0,0,0,0,0,1,0,Omnivore,35,0,10,10,0,0,0,0,20,20,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,mallar3,505,515
Anas rubripes,190,677,593,493,NA,494;495;496;505,42,1330,1326,51.37,Anseriformes,Anatidae,American Black Duck,NA,26,0,0.61,0,1,0,8,10,0.38,0.96,NA,4.9,0.36,0,1,pre2,1240.96,2,monog,0,25-Apr,25-Sep,0,scrape,0,95,0,0,0,0,5,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,1,0,PlantSeed,40,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,90,0,0,0,ambduc,527,537
Anas fulvigula,200,19816,594,497,498:499,500;501;502;503;504;505,43,1340,1326,48.78,Anseriformes,Anatidae,Mottled Duck,NA,13,0,0.48,0,1,0,8,10,0.27,0.77,0.5,NA,0.1,0,1,pre2,843.42,1,monog,0,25-Feb,5-Aug,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,20,60,0,20,0,0,0,0,0,0,1,0,Omnivore,40,0,10,10,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,motduc,531,541
Anas acuta,210,708,608,514,NA,515;516;517;518;519;520,46,1430,NA,59.44,Anseriformes,Anatidae,Northern Pintail,NA,21,0,0.72,0,1,0,6,9,0.24,0.93,NA,NA,0.38,0,0.9,pre2,944.62,3,monog,0,1-Apr,5-Aug,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,70,0,30,0,0,0,0,0,0,1,0,PlantSeed,20,0,0,0,10,0,0,0,20,50,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,0,0,norpin,548,558
Anas crecca,220,714,612,529,530:532,533;534;535;536;537;538;539,47,1390,NA,54.78,Anseriformes,Anatidae,Common Teal,NA,20.5,0,0.5,0,1,0,8,9,0.43,0.79,0.63,3.8,0.21,0,1,pre2,341.89,3,monog,0,1-May,20-Aug,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,10,0,60,0,30,0,0,0,0,0,0,1,0,PlantSeed,30,0,0,0,0,0,0,0,20,50,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,gnwtea,563,574
Aythya valisineria,230,728,549,575,NA,578;581,48,1470,NA,41.93,Anseriformes,Anatidae,Canvasback,NA,22,0,0.76,0,1.25,0,7,9,0.53,0.9,0.33,5.52,0.16,0,1,pre2,1202,3,monog,0,20-Apr,10-Sep,0,cup,0,0,0,0,0,0,0,0,0,0,0,100,20,30,40,0,10,0,0,0,0,0,0,1,0,PlantSeed,10,0,0,10,0,0,0,0,20,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,0,0,10,0,canvas,616,627
Aythya americana,240,729,548,576,NA,577;578;582,49,1460,NA,46.04,Anseriformes,Anatidae,Redhead,NA,21,0,0.51,0,1.1,0.5,10,11,0.85,0.32,NA,2.3,0.3,0,1,pre2,1075.69,3,monog,0,10-May,15-Sep,0,cup,0,0,0,0,0,0,0,0,0,0,0,100,0,50,50,0,0,0,0,0,0,0,0,1,0,PlantSeed,10,0,0,0,0,0,0,0,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,20,0,0,0,redhea,617,628
Aythya collaris,250,730,555,580,NA,581;593;600;604;608,51,1500,NA,48.21,Anseriformes,Anatidae,Ring-necked Duck,NA,20,0,0.59,0,1,0,8,10,0.7,0.91,0.77,3.4,0.49,0,1,pre2,704.55,2,monog,0,1-May,15-Aug,0,scrape,0,60,0,0,0,0,0,0,0,0,0,40,0,0,100,0,0,0,0,0,0,0,0,1,0,PlantSeed,20,0,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,rinduc,623,634
Aythya marila,260,738,557,596,597:598,599;600;601;606;607;608;609,53,1480,1489,45.89,Anseriformes,Anatidae,Greater Scaup,NA,22,0,0.79,0,1,0,7,10,0.55,0.45,NA,3.04,0.25,0,1,pre2,1005.37,3,monog,0,25-May,30-Sep,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,1,1,0,Invertebrate,80,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,gresca,643,655
Aythya affinis,270,739,558,602,NA,603;604;605;606;607;608;609,54,1490,1489,50.99,Anseriformes,Anatidae,Lesser Scaup,NA,18.3,0,0.59,0,1.5,0,9,12,0.37,NA,0.68,NA,0.25,0,1,pre2,819.45,3,monog,0,25-May,10-Sep,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,PlantSeed,70,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,lessca,649,661
Aythya fuligula,271,736,556,591,NA,592;593;594,52,1491,NA,48.431,Anseriformes,Anatidae,Tufted Duck,NA,18,1,0.59,1,1.5,0,8,11,NA,NA,NA,NA,0.25,1,1,pre2,701.17,3,monog,0,25-May,10-Sep,0,scrape,0,50,50,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0,0,1,0,Omnivore,50,0,0,0,0,10,0,0,20,15,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,80,10,0,0,0,0,tufduc,636,648
Polysticta stelleri,280,745,488,611,NA,NA,NA,NA,NA,49.38,Anseriformes,Anatidae,Steller's Eider,NA,12,0,0.83,0,2.5,0,6,8,0.43,NA,NA,3.5,0.3,0,1,pre2,806.76,2,monog,0,10-Jun,5-Aug,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,steeid,659,671
Somateria fischeri,290,744,485,612,NA,614,NA,NA,NA,44.99,Anseriformes,Anatidae,Spectacled Eider,NA,8,0,0.78,0,2.5,0,4,6,0.45,NA,NA,NA,0.3,0,1,pre2,1557.16,2,monog,0,25-May,30-Aug,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,25,0,0,0,speeid,661,673
Somateria spectabilis,300,743,486,613,NA,614;623;624,58,1620,NA,48.92,Anseriformes,Anatidae,King Eider,NA,15,0,0.94,0,3,0,4,5,0.22,0.89,NA,NA,0.2,0,0.9,pre2,1616.71,3,monog,0,5-Jun,25-Sep,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,10,0,0,0,kineid,662,674
Somateria mollissima,310,740,487,615,616:621,622;623;624,59,1590,NA,45.48,Anseriformes,Anatidae,Common Eider,NA,21,0,0.83,0,3.5,0,4,5,0.27,0.69,NA,NA,0.19,0,0.75,pre2,2060.93,3,monog,0,1-Jun,30-Sep,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,10,10,0,0,0,comeid,664,676
Histrionicus histrionicus,320,747,597,626,NA,NA,60,1550,NA,50.04,Anseriformes,Anatidae,Harlequin Duck,NA,10,0,0.71,0,2.5,0,6,8,NA,0.81,0.43,2.4,0.34,0,1,pre2,561.57,3,monog,0,25-Apr,5-Sep,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,20,0,0,0,harduc,675,687
Melanitta perspicillata,330,752,489,628,NA,632;637,61,1660,1657,51.24,Anseriformes,Anatidae,Surf Scoter,NA,10,0,0.74,0,2.5,0,5,8,0.71,NA,0.4,NA,0.28,0,0.9,pre2,1096.33,2,monog,0,1-Jun,5-Sep,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,Invertebrate,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,sursco,676,688
Melanitta fusca,340,753,490,629,NA,633;632;634,62,1650,1657,49.94,Anseriformes,Anatidae,White-winged Scoter,NA,21,0,0.76,0,2.5,0,7,9,NA,NA,NA,NA,0.3,0,1,pre2,1800.17,2,monog,0,15-May,15-Jul,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,80,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,whwsco3,677,689
Melanitta nigra,350,749,493,636,NA,635;637;638,65,1630,1657,46.42,Anseriformes,Anatidae,Black Scoter,NA,16,0,0.78,0,2.5,0,6,8,NA,NA,NA,NA,0.3,0,0.9,pre2,1049.98,2,monog,0,15-May,15-Jul,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,blksco2,684,696
Clangula hyemalis,360,748,484,640,NA,NA,67,1540,NA,50.8,Anseriformes,Anatidae,Long-tailed Duck,NA,20,0,0.74,0,2.5,0,6,7,0.41,0.81,NA,NA,0.33,0,1,pre2,871,2,monog,0,25-May,30-Aug,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,Invertebrate,80,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,lotduc,688,700
Bucephala albeola,370,760,497,641,NA,645;646;653,68,1530,NA,47.41,Anseriformes,Anatidae,Bufflehead,NA,18,0,0.48,0,2,0,8,10,0.79,0.93,NA,4.9,0.74,0,1,pre2,397.46,1,monog,0,1-May,25-Aug,1,cavity,0,0,0,0,0,0,30,30,40,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,buffle,689,701
Bucephala clangula,380,757,498,642,643:644,648;649;654;656,69,1510,1512,52.23,Anseriformes,Anatidae,Common Goldeneye,NA,11.5,0,0.61,0,2,0,7,10,0.64,0.8,NA,1.3,0.51,0,1,pre2,918.56,1,monog,0,25-Apr,25-Aug,1,cavity,0,5,0,5,0,0,30,10,50,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,comgol,690,702
Bucephala islandica,390,759,499,647,NA,648;649;655;656,70,1520,1512,47.21,Anseriformes,Anatidae,Barrow's Goldeneye,NA,18,0,0.66,0,2.5,0,9,10,0.48,0.9,0.36,1.3,0.43,0,1,pre2,921.21,1,monog,0,25-Apr,15-Sep,1,cavity,0,0,0,5,0,0,30,15,50,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,bargol,695,707
Lophodytes cucullatus,400,762,501,651,NA,653;654;655;656,73,1310,NA,50.93,Anseriformes,Anatidae,Hooded Merganser,NA,11,0,0.66,0,2,0,10,12,0.73,0.64,NA,NA,0.47,0,1,pre2,613.77,2,monog,0,15-Feb,5-Jun,1,cavity,0,0,0,0,0,0,40,0,60,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Omnivore,20,0,10,50,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,hoomer,700,712
Mergus merganser,410,767,502,658,659:662,663;664;668;669,74,1290,NA,44.13,Anseriformes,Anatidae,Common Merganser,NA,12.5,0,0.6,0,2.5,0,8,11,0.94,NA,NA,6.8,0.72,0,1,pre2,1451,2,monog,0,1-May,5-Sep,1,cavity,0,5,0,5,5,0,20,15,50,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,VertFishScav,10,10,10,65,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,commer,708,720
Mergus serrator,420,764,504,666,NA,667;668;669,75,1300,NA,48.85,Anseriformes,Anatidae,Red-breasted Merganser,NA,12,0,0.81,0,2.7,0,8,10,0.72,NA,NA,2.1,0.3,0,1,pre2,1015.17,2,monog,0,25-May,30-Sep,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,VertFishScav,20,0,0,70,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,rebmer,716,728
Nomonyx dominicus,430,572,441,673,NA,678,NA,NA,NA,40.96,Anseriformes,Anatidae,Masked Duck,NA,6,0,0.5,1,1,0,4,10,NA,NA,NA,3,0.6,0,1,pre2,364.97,2,monog,0,1-May,15-Nov,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,0,PlantSeed,20,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,masduc,723,735
